company_name,website,category,_has_phone_field,_phone_field_details,_check_status,_error
Zinnia,zinnia.com,life_insurance,False,,success,
Delos Insurance,delosinsurance.com,auto_home,False,,error,"HTTPSConnectionPool(host='delosinsurance.com', port=443): Max retries exceeded with url: / (Caused b"
Nationwide Pet,petinsurance.com,pet_insurance,False,,success,
Rhino,sayrhino.com,auto_home,False,,error,403 Client Error: Forbidden for url: https://www.sayrhino.com/
Pet Assure,petassure.com,pet_insurance,True,"[{""type"": ""input[type=tel]"", ""name"": ""Phone"", ""id"": ""Phone"", ""placeholder"": ""123-456-1234""}]",success,
Openly,openly.com,auto_home,False,,success,
Goodcover,goodcover.com,auto_home,False,,success,
Fabric,meetfabric.com,life_insurance,False,,success,
Bamboo Insurance,bambooinsurance.com,auto_home,False,,success,
Kangaroo,heykangaroo.com,auto_home,False,,success,
Clearcover,clearcover.com,auto_home,False,,success,
Bright Health,brighthealthcare.com,health_insurance,False,,success,
Slide Insurance,slideinsurance.com,auto_home,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": ""0-0-4-Phone Number"", ""id"": ""0-0-4-Phone Number"", ""placeholder"": ""###-###-####"", ""matched_on"": ""phone""}]",success,
Collective Health,collectivehealth.com,health_insurance,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": """", ""id"": ""mobile-nav-input"", ""placeholder"": """", ""matched_on"": ""mobile""}]",success,
Gravie,gravie.com,health_insurance,False,,success,
Sidecar Health,sidecarhealth.com,health_insurance,True,"[{""type"": ""input[type=tel]"", ""name"": ""input_6"", ""id"": ""input_18_6"", ""placeholder"": ""Phone Number""}, {""type"": ""input[type=tel]"", ""name"": ""input_5"", ""id"": ""input_22_5"", ""placeholder"": ""Phone""}]",success,
Jetty,jetty.com,auto_home,False,,success,
SelectQuote,selectquote.com,health_insurance,False,,error,403 Client Error: Forbidden for url: https://selectquote.com/
eHealth,ehealthinsurance.com,health_insurance,False,,error,403 Client Error: Forbidden for url: https://ehealthinsurance.com/
Healthsherpa,healthsherpa.com,health_insurance,False,,error,406 Client Error: Not Acceptable for url: https://healthsherpa.com/
Bind Benefits,yourbind.com,health_insurance,False,,success,
GoHealth,gohealth.com,health_insurance,False,,success,
Decent,decent.com,health_insurance,False,,success,
Devoted Health,devoted.com,health_insurance,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": ""phone"", ""id"": ""phone"", ""placeholder"": """", ""matched_on"": ""phone""}]",success,
Friday Health,fridayhealthplans.com,health_insurance,False,,error,403 Client Error: Forbidden for url: https://fridayhealthplans.com/
Sure Insurance,sureapp.com,auto_home,False,,success,
Stride Health,stridehealth.com,health_insurance,False,,success,
Healthmarkets,healthmarkets.com,health_insurance,False,,success,
Savvy,savvy.insure,comparison,False,,success,
Embroker,embroker.com,comparison,False,,success,
QuoteWizard,quotewizard.com,comparison,False,,error,403 Client Error: Forbidden for url: https://quotewizard.com/
ValuePenguin,valuepenguin.com,comparison,False,,error,403 Client Error: Forbidden for url: https://valuepenguin.com/
Agilon Health,agilonhealth.com,health_insurance,True,"[{""type"": ""input[type=tel]"", ""name"": ""wpforms[fields][3]"", ""id"": ""wpforms-47781-field_3"", ""placeholder"": ""Phone Number*""}]",success,
Alignment Healthcare,alignmenthealthcare.com,health_insurance,False,,success,
Clover Health,cloverhealth.com,health_insurance,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": ""phone"", ""id"": ""form_phone"", ""placeholder"": ""Phone"", ""matched_on"": ""phone""}]",success,
Coverhound,coverhound.com,comparison,True,"[{""type"": ""input[type=tel]"", ""name"": ""Phone"", ""id"": ""Phone-2"", ""placeholder"": ""Phone""}]",success,
Oscar Health,hioscar.com,health_insurance,False,,success,
Bankrate Insurance,bankrate.com/insurance,comparison,False,,success,
NetQuote,netquote.com,comparison,False,,success,
Insurance.com,insurance.com,comparison,True,"[{""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": ""zipcode"", ""placeholder"": ""Enter ZIP code""}, {""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": ""zipcode"", ""placeholder"": ""Enter ZIP code""}, {""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": ""zip-value"", ""placeholder"": ""ZIP code""}, {""type"": ""input[type=tel]"", ""name"": ""PostalCode"", ""id"": """", ""placeholder"": ""Enter ZIP code""}, {""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": """", ""placeholder"": ""Enter ZIP code""}, {""type"": ""input[type=tel]"", ""name"": ""PostalCode"", ""id"": """", ""placeholder"": ""Enter ZIP code""}, {""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": """", ""placeholder"": "" ""}]",success,
NerdWallet Insurance,nerdwallet.com/insurance,comparison,False,,success,
Wefox,wefox.com,insurtech,False,,success,
Insure.com,insure.com,comparison,True,"[{""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": ""banner-auto-zip-input"", ""placeholder"": ""Enter Zip""}, {""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": ""banner-life-zip-input"", ""placeholder"": ""Enter Zip""}, {""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": ""banner-health-zip-input"", ""placeholder"": ""Enter Zip""}, {""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": ""banner-home-zip-input"", ""placeholder"": ""Enter Zip""}, {""type"": ""input[name/id/placeholder match]"", ""name"": ""new_tab_mobile"", ""id"": """", ""placeholder"": """", ""matched_on"": ""mobile""}, {""type"": ""input[name/id/placeholder match]"", ""name"": ""new_tab_mobile"", ""id"": """", ""placeholder"": """", ""matched_on"": ""mobile""}, {""type"": ""input[name/id/placeholder match]"", ""name"": ""skipinterstitial_mobile"", ""id"": """", ""placeholder"": """", ""matched_on"": ""mobile""}, {""type"": ""input[name/id/placeholder match]"", ""name"": ""new_tab_mobile"", ""id"": """", ""placeholder"": """", ""matched_on"": ""mobile""}, {""type"": ""input[name/id/placeholder match]"", ""name"": ""new_tab_mobile_listing"", ""id"": """", ""placeholder"": """", ""matched_on"": ""mobile""}]",success,
SmartFinancial,smartfinancial.com,comparison,True,"[{""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": """", ""placeholder"": ""Zip Code""}]",success,
Insureon,insureon.com,comparison,False,,success,
Next Insurance,nextinsurance.com,insurtech,False,,success,
MediaAlpha,mediaalpha.com,comparison,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": ""input_5"", ""id"": ""input_22_5"", ""placeholder"": """", ""matched_on"": ""phone""}, {""type"": ""input[name/id/placeholder match]"", ""name"": ""input_8"", ""id"": ""input_25_8"", ""placeholder"": """", ""matched_on"": ""phone""}]",success,
Alan,alan.com,insurtech,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": """", ""id"": "":Rdlpn4rkredj4qd:"", ""placeholder"": ""0611223344"", ""matched_on"": ""phone""}]",success,
Gabi,gabi.com,auto_home,False,,success,
Corvus Insurance,corvusinsurance.com,insurtech,False,,success,
At-Bay,at-bay.com,insurtech,False,,success,
Buckle,buckleup.com,insurtech,True,"[{""type"": ""input[type=tel]"", ""name"": ""Phone-Number-2"", ""id"": ""Phone-Number-2"", ""placeholder"": ""Phone Number""}]",success,
EverQuote,everquote.com,comparison,True,"[{""type"": ""input[type=tel]"", ""name"": """", ""id"": ""phone"", ""placeholder"": ""Phone""}]",success,
Cape Analytics,capeanalytics.com,insurtech,False,,success,
Shift Technology,shift-technology.com,insurtech,False,,success,
Highwing,highwing.io,insurtech,False,,success,
Vouch,vouch.us,insurtech,False,,success,
Cowbell Cyber,cowbell.insure,insurtech,False,,success,
Socotra,socotra.com,insurtech,False,,success,
Tractable,tractable.ai,insurtech,False,,success,
Insuranks,insuranks.com,comparison,False,,success,
Coalition,coalitioninc.com,insurtech,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": """", ""id"": "":Raedaladalalalald5cv6:"", ""placeholder"": ""Phone"", ""matched_on"": ""phone""}]",success,
Relativity6,relativity6.com,insurtech,False,,success,
Newfront Insurance,newfront.com,insurtech,False,,success,
Pie Insurance,pieinsurance.com,insurtech,False,,success,
Federato,federato.ai,insurtech,False,,success,
EIS Group,eisgroup.com,insurtech,False,,success,
Snapsheet,snapsheet.me,insurtech,False,,error,Timeout
